date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:40:13	71730/71730	---M-Z	200	added ('OK')	text/html	etag:%2211832-6576e842-73563b390c4c4ec7;gz%22	https://tcrr.in/	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/index.html	(from )
10:40:13	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/robots.txt		(from )
10:40:14	10179/10179	---M--	200	added ('OK')	image/png	etag:%2227c3-6576e842-f836782be879718c;;;%22	https://tcrr.in/img/favicon.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/favicon.png	(from https://tcrr.in/)
10:40:14	1852/1852	---M--	200	added ('OK')	image/png	etag:%2273c-6576e842-6e9286613e7c0a83;;;%22	https://tcrr.in/img/apple-touch-icon.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon.png	(from https://tcrr.in/)
10:40:14	1852/1852	---M--	200	added ('OK')	image/png	etag:%2273c-6576e842-ff4d090f9e237ce6;;;%22	https://tcrr.in/img/apple-touch-icon-57x57.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-57x57.png	(from https://tcrr.in/)
10:40:14	2565/2565	---M--	200	added ('OK')	image/png	etag:%22a05-6576e842-6f662dee957d6c63;;;%22	https://tcrr.in/img/apple-touch-icon-72x72.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-72x72.png	(from https://tcrr.in/)
10:40:15	2705/2705	---M--	200	added ('OK')	image/png	etag:%22a91-6576e842-14ce2a86806c76a1;;;%22	https://tcrr.in/img/apple-touch-icon-76x76.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-76x76.png	(from https://tcrr.in/)
10:40:15	5124/5124	---M--	200	added ('OK')	image/png	etag:%221404-6576e842-264d035ad1292529;;;%22	https://tcrr.in/img/apple-touch-icon-114x114.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-114x114.png	(from https://tcrr.in/)
10:40:15	5489/5489	---M--	200	added ('OK')	image/png	etag:%221571-6576e842-3cb38cf835f8e744;;;%22	https://tcrr.in/img/apple-touch-icon-120x120.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-120x120.png	(from https://tcrr.in/)
10:40:15	7263/7263	---M--	200	added ('OK')	image/png	etag:%221c5f-6576e842-fc5eb6afc1f8e1c5;;;%22	https://tcrr.in/img/apple-touch-icon-144x144.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-144x144.png	(from https://tcrr.in/)
10:40:15	7973/7973	---M--	200	added ('OK')	image/png	etag:%221f25-6576e842-e1267875f66e6d12;;;%22	https://tcrr.in/img/apple-touch-icon-152x152.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-152x152.png	(from https://tcrr.in/)
10:40:16	10354/10354	---M--	200	added ('OK')	image/png	etag:%222872-6576e842-68cac436b5149c55;;;%22	https://tcrr.in/img/apple-touch-icon-180x180.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/apple-touch-icon-180x180.png	(from https://tcrr.in/)
10:40:16	188804/188804	---M-Z	200	added ('OK')	text/css	etag:%222e184-6576e842-1902701fe1d6356b;gz%22	https://tcrr.in/css/bootstrap.min.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/bootstrap.min.css	(from https://tcrr.in/)
10:40:16	26711/26711	---M-Z	200	added ('OK')	text/css	etag:%226857-6576e842-fbe8af7525d56414;gz%22	https://tcrr.in/css/font-awesome.min.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/font-awesome.min.css	(from https://tcrr.in/)
10:40:16	92214/92214	---M-Z	200	added ('OK')	text/css	etag:%2216836-6576e842-509f0c5e5cf37b16;gz%22	https://tcrr.in/css/icofont.min.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/icofont.min.css	(from https://tcrr.in/)
10:40:17	7346/7346	---M-Z	200	added ('OK')	text/css	etag:%221cb2-6576e842-74e9b5576c286504;gz%22	https://tcrr.in/css/magnific-popup.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/magnific-popup.css	(from https://tcrr.in/)
10:40:17	2763/2763	---M-Z	200	added ('OK')	text/css	etag:%22acb-6576e842-e72242cb6b535e7a;gz%22	https://tcrr.in/css/owl.carousel.min.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/owl.carousel.min.css	(from https://tcrr.in/)
10:40:17	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-6576e842-36902c4da7c7c4f9;gz%22	https://tcrr.in/css/animate.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/animate.css	(from https://tcrr.in/)
10:40:17	71633/71633	---M-Z	200	added ('OK')	text/css	etag:%22117d1-6576e842-790b74604709ac45;gz%22	https://tcrr.in/css/main.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/main.css	(from https://tcrr.in/)
10:40:17	30/30	---M--	200	added ('OK')	text/css	etag:%221e-6576e842-e562864b93c3a84a;;;%22	https://tcrr.in/style.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/style.css	(from https://tcrr.in/)
10:40:18	3112/3112	---M-Z	200	added ('OK')	text/css	etag:%22c28-6576e842-8fc06c328e543488;gz%22	https://tcrr.in/css/meanmenu.min.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/meanmenu.min.css	(from https://tcrr.in/)
10:40:18	6668/6668	---M-Z	200	added ('OK')	text/css	etag:%221a0c-6576e842-8ade9ec7f535d0c7;gz%22	https://tcrr.in/css/responsive.css	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/css/responsive.css	(from https://tcrr.in/)
10:40:18	71730/71730	---M-Z	200	added ('OK')	text/html	etag:%2211832-6576e842-73563b390c4c4ec7;gz%22	https://tcrr.in/index.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/index-2.html	(from https://tcrr.in/)
10:40:18	76486/76486	---M--	200	added ('OK')	image/png	etag:%2212ac6-6576e842-102eea985eede2c6;;;%22	https://tcrr.in/img/logo.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/logo.png	(from https://tcrr.in/)
10:40:19	35208/35208	---M-Z	200	added ('OK')	text/html	etag:%228988-6576e842-bb764ac40d658052;gz%22	https://tcrr.in/about.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/about.html	(from https://tcrr.in/)
10:40:19	20123/20123	---M-Z	200	added ('OK')	text/html	etag:%224e9b-6576e842-cf4dc82cb3237209;gz%22	https://tcrr.in/segments.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/segments.html	(from https://tcrr.in/)
10:40:19	15717/15717	---M-Z	200	added ('OK')	text/html	etag:%223d65-6576e842-d1d53c7153017eb4;gz%22	https://tcrr.in/Strategy.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Strategy.html	(from https://tcrr.in/)
10:40:19	16237/16237	---M-Z	200	added ('OK')	text/html	etag:%223f6d-6576e886-c358132cc6ebe127;gz%22	https://tcrr.in/Marketing.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Marketing.html	(from https://tcrr.in/)
10:40:20	14700/14700	---M-Z	200	added ('OK')	text/html	etag:%22396c-6576e842-c0e077d2202da62e;gz%22	https://tcrr.in/Capital%20Market.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Capital%20Market.html	(from https://tcrr.in/)
10:40:20	15908/15908	---M-Z	200	added ('OK')	text/html	etag:%223e24-6576e842-7930974402d3ecb2;gz%22	https://tcrr.in/Sales.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Sales.html	(from https://tcrr.in/)
10:40:20	14602/14602	---M-Z	200	added ('OK')	text/html	etag:%22390a-6576e842-1b330f54c2c232ce;gz%22	https://tcrr.in/Facility%20Management.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Facility%20Management.html	(from https://tcrr.in/)
10:40:20	16890/16890	---M-Z	200	added ('OK')	text/html	etag:%2241fa-6576e842-dc997871422e0dff;gz%22	https://tcrr.in/Elite%20Services.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/Elite%20Services.html	(from https://tcrr.in/)
10:40:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/projects.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/projects.html	(from https://tcrr.in/)
10:40:21	17810/17810	---M-Z	200	added ('OK')	text/html	etag:%224592-6576e842-c2382706fa69d6fa;gz%22	https://tcrr.in/blog.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/blog.html	(from https://tcrr.in/)
10:40:21	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/career.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/career.html	(from https://tcrr.in/)
10:40:21	18303/18303	---M-Z	200	added ('OK')	text/html	etag:%22477f-6576e842-4e1b1cd332234e86;gz%22	https://tcrr.in/contact.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/contact.html	(from https://tcrr.in/)
10:40:23	626707/626707	---M--	200	added ('OK')	image/jpeg	etag:%2299013-6576e842-6bc928e1ebd38093;;;%22	https://tcrr.in/img/slider-1.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/slider-1.jpg	(from https://tcrr.in/)
10:40:23	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65552856-a86ca43da3e0ed59;gz%22	https://tcrr.in/feature-details.html	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/feature-details.html	(from https://tcrr.in/)
10:40:24	71587/71587	---M--	200	added ('OK')	image/jpeg	etag:%22117a3-6576e842-73200482d30b4d0;;;%22	https://tcrr.in/img/f1.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/f1.jpg	(from https://tcrr.in/)
10:40:25	1913/1913	---M--	200	added ('OK')	image/png	etag:%22779-6576e842-39e4b9dfc43c60fa;;;%22	https://tcrr.in/img/icon/piggy-bank.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/icon/piggy-bank.png	(from https://tcrr.in/)
10:40:25	539447/539447	---M--	200	added ('OK')	image/jpeg	etag:%2283b37-6576e842-8c27fbd322d91b3c;;;%22	https://tcrr.in/img/slider-2.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/slider-2.jpg	(from https://tcrr.in/)
10:40:25	67017/67017	---M--	200	added ('OK')	image/jpeg	etag:%22105c9-6576e842-2fa98f24426f1193;;;%22	https://tcrr.in/img/f2.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/f2.jpg	(from https://tcrr.in/)
10:40:25	1988/1988	---M--	200	added ('OK')	image/png	etag:%227c4-6576e842-b713f79104252766;;;%22	https://tcrr.in/img/icon/money.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/icon/money.png	(from https://tcrr.in/)
10:40:25	62693/62693	---M--	200	added ('OK')	image/jpeg	etag:%22f4e5-6576e842-57d9f0f97c8c0db4;;;%22	https://tcrr.in/img/f3.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/f3.jpg	(from https://tcrr.in/)
10:40:26	1981/1981	---M--	200	added ('OK')	image/png	etag:%227bd-6576e842-26d8d14101ae20d8;;;%22	https://tcrr.in/img/icon/customer-support.png	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/icon/customer-support.png	(from https://tcrr.in/)
10:40:26	68562/68562	---M--	200	added ('OK')	image/jpeg	etag:%2210bd2-6576e842-5e397d8af0663917;;;%22	https://tcrr.in/img/f5.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/f5.jpg	(from https://tcrr.in/)
10:40:26	71149/71149	---M--	200	added ('OK')	image/jpeg	etag:%22115ed-6576e842-e750131fa3ef229b;;;%22	https://tcrr.in/img/f6.jpg	C:/Users/RHUNALI/Downloads/TCR/tcrr.in/img/f6.jpg	(from https://tcrr.in/)
